00000000004_0025819_0026242	and then the prophets recorded their history and their prophecies.
00000000213_0036994_0038201	you believe yourself miserable. but i can make you so wretched that the light of day will be hateful to you. you are my creator, but i am your master. obey.
00000000213_0038201_0039597	the hour of my weakness is past, and the period of your power is arrived. your threats cannot move me to do an act of wickedness. but they confirm me in a determination of not creating you a companion in vice.
00000000213_0040962_0041692	the monster saw my determination in my face and gnashed his teeth in the impotence of anger.
00000000213_0041692_0043451	shall each man cried? he find a wife for his bosom, and each beast have his mate. and i be alone. i had feelings of affection, and they were requited by detestation and scorn. man, you may hate, but beware.
00000000213_0050822_0052388	i would have seized him, but he eluded me and quitted the house with precipitation. in a few moments, i saw him in his boat, which shot across the waters with an arrowy swiftness, and was soon lost amidst the waves.
00000000213_0056252_0056931	and then i thought again of his words. i will be with you on your wedding night.
00000000213_0084987_0086245	the idea of renewing my labours did not for one instant occur to me. the threat i had heard weighed on my thoughts. but i did not reflect that a voluntary act of mine could avert it.
00000000213_0099946_0100789	i had no compass with me, and was so little acquainted with the geography of this part of the world that the sun was of little benefit to me.
00000000213_0102798_0104520	i looked on the heavens, which were covered by clouds that flew before the wind, only to be replaced by others. i looked upon the sea. it was to be my grave fiend. i exclaimed, your task is already fulfilled.
00000000213_0106189_0107596	some hours passed thus, but by degrees as the sun declined towards the horizon, the wind died away into a gentle breeze, and the sea became free from breakers.
00000000213_0119236_0120025	my good friends said i, will you be so kind as to tell me the name of this town and inform me where i am?
00000000215_0515642_0515940	all right, now we got two scenarios, okay.
00000000217_0200762_0202299	wonder why it is. of course, it doesn't come down. but why should it seem to? i suppose it is an optical illusion. i mean, one of them is, i don't know which one. it may be the feather. it may be the clod.
00000000225_0010191_0011129	wehling was fifty six, a mere stripling in a population whose average age was one hundred and twenty nine.
00000000225_0028626_0029129	it's called the happy garden of life. you know.
00000000225_0033090_0033597	must be nice to be able to make pictures that look like something.
00000000225_0034645_0035089	you think this is my idea of what life really looks like.
00000000225_0037278_0037690	you're a gloomy old duck, aren't you? said the orderly.
00000000225_0054740_0055698	a lot would depend on what your business was. he said you aren't about to have a baby, are you?
00000000225_0057486_0058085	that sure is a beautiful picture. she said looks just like heaven or something.
